indice_tiempo,superficie_sembrada_maiz_ha,superficie_cosechada_maiz_ha,produccion_maiz_t,rendimiento_maiz_kgxha
1923,3435430,,7030000,
1924,3707700,2911768,4732235,1421.29
1925,4297000,3898912,8170000,1788.59
1926,4289000,3666650,8150000,1741.61
1927,4346000,3641826,7915000,1789.96
1928,4788000,3652577,6411529,1207.7
1929,5647400,4220000,7128068,1263.19
1930,5575000,4685250,10660000,1741.48
1931,5855000,3851690,7603391,1431.53
1932,5884000,3793355,6801404,1340.96
1933,6514000,4112030,6525960,1214.86
1934,7028870,5702400,11480000,1473.85
1935,7630000,5119245,10051206,1571.92
1936,6091250,4361100,8640220,1149.83
1937,6065884,3125453,4424000,951.9
1938,5300000,3501970,4864000,1162.13
1939,7200000,5695000,10375000,1156.71
1940,6097600,4932300,10238000,1431.62
1941,5000000,4088700,9033600,1288.89
1942,4138540,1767370,1943180,885.39
1943,4412450,3700380,8730000,1441.51
1944,4017300,2054450,2965500,983.57
1945,3950826,2614733,3574190,1118.64
1946,3612157,2600386,5814695,1203.7
1947,3319210,2584201,5200000,1154.8
1948,2690800,2036140,3450000,1034.29
1949,2156200,941980,836400,811.81
1950,2439000,1713800,2670000,1143.56
1951,2531805,1431235,2040000,1002.6
1952,3354260,2355627,3550000,1170.51
1953,3268000,2414393,4450000,1197.68
1954,3001500,1862800,2546000,1081.09
1955,2887900,2240259,3870000,1223.11
1956,2740400,1957450,2698000,1026.83
1957,2860000,2447750,4806000,1265.94
1958,2894000,2361280,4932000,1232.99
1959,3062000,2414580,4108000,1168.89
1960,3222000,2744400,4850000,1263.92
1961,3300000,2756670,5220000,1220.3
1962,3420000,2645400,4360000,1220.57
1963,3778000,2970500,5350000,1220.29
1964,3692985,3062300,5140000,1246.14
1965,3921300,3274500,7040000,1354.66
1966,4156500,3450500,8510000,1555.37
1967,4473400,3377700,6560000,1174.16
1968,4595400,3556000,6860000,1382.53
1969,4663760,4015602,9358372,1413.17
1970,4990990,4063996,9928194,1423.64
1971,4437630,3145971,5858318,1137.45
1972,4249455,3564285,9698405,1655.04
1973,4132500,3484950,9898570,1755.91
1974,3869850,3069150,7698750,1467.09
1975,3694900,2765200,5854090,1402.02
1976,2978900,2531120,8298552,1909.43
1977,3099200,2659300,9698550,2123.94
1978,3299350,2799500,8699080,1835.27
1979,3309450,2489600,6399220,1739.82
1980,3999550,3393700,12899150,2328.65
1981,3694650,3169650,9599125,2072.29
1982,3439500,2969500,8999000,2105.66
1983,3483100,3023900,9497390,2352.11
1984,3619900,3339900,11899730,2628.73
1985,3819800,3230800,12099500,2682.41
1986,3649880,2899880,9249730,2508.6
1987,2824894,2437394,9199690,2986.1
1988,2684800,1683550,4899620,2294.65
1989,2069820,1560149,5399580,2873.09
1990,2159700,1899700,7683800,3664.43
1991,2684000,2363940,10696000,3867.64
1992,2960820,2501110,10895500,3543.76
1993,2780580,2444240,10357200,3418.96
1994,2957200,2521250,11402541,3633.3
1995,3414350,2603520,10517630,3051.03
1996,4153200,3410185,15536120,3832.83
1997,3751630,3185390,19360655,4686.51
1998,3270050,2514450,13503400,3979.79
1999,3651900,3088715,16780650,4233.89
2000,3494523,2815504,15359397,4299.91
2001,3061661,2420124,14712080,4536.97
2002,3060374,2300857,15002219,4745.2
2003,2962400,2307602,14818788,4968.01
2004,3403837,2783436,20482572,5544.53
2005,3190440,2447166,14445538,4672.38
2006,3578235,2838072,21755365,5953.05
2007,4238329,3413784,22026803,4799.81
2008,3501328,2362508,13134436,3315.57
2009,3671260,2904035,22663096,5806.82
2010,4561101,3747838,23799830,5171.67
2011,5000330,3696300,21196637,4791.65
2012,6133378,4863801,32119211,5345.7
2013,6098885,4836655,33087165,5758.6
2014,6034480,4626880,33817449,6500.34
2015,6904538,5346593,39792854,6668
2016,8486694,6536763,49490326,6877.67
2017,9139766,7138620,43462323,5689.34
2018,9039594,7232761,56860704,7139.5
2019,9504473,7730506,58395811,6820.61
2020,9742230,8146596,60525805,6428.21
2021,10670126,8768441,59037179,5776.59
2022,10533195,8104641,41409448,4583.4
2023,11103250,8736712,57494500,5413.19
