cod_pais,nom_pais,año,mes,insumo,destino,cod_uni_med,nom_uni_med,cantidad
32,Argentina,2014,Enero,aceite de soja,biodiesel,t,toneladas,145809
32,Argentina,2014,Febrero,aceite de soja,biodiesel,t,toneladas,136940
32,Argentina,2014,Marzo,aceite de soja,biodiesel,t,toneladas,125415
32,Argentina,2014,Abril,aceite de soja,biodiesel,t,toneladas,147477
32,Argentina,2014,Mayo,aceite de soja,biodiesel,t,toneladas,237136
32,Argentina,2014,Junio,aceite de soja,biodiesel,t,toneladas,258457
32,Argentina,2014,Julio,aceite de soja,biodiesel,t,toneladas,284321
32,Argentina,2014,Agosto,aceite de soja,biodiesel,t,toneladas,287682
32,Argentina,2014,Septiembre,aceite de soja,biodiesel,t,toneladas,305381
32,Argentina,2014,Octubre,aceite de soja,biodiesel,t,toneladas,319244
32,Argentina,2014,Noviembre,aceite de soja,biodiesel,t,toneladas,251800
32,Argentina,2014,Diciembre,aceite de soja,biodiesel,t,toneladas,173087
32,Argentina,2015,Enero,aceite de soja,biodiesel,t,toneladas,139486
32,Argentina,2015,Febrero,aceite de soja,biodiesel,t,toneladas,103029
32,Argentina,2015,Marzo,aceite de soja,biodiesel,t,toneladas,100612
32,Argentina,2015,Abril,aceite de soja,biodiesel,t,toneladas,133362
32,Argentina,2015,Mayo,aceite de soja,biodiesel,t,toneladas,136005
32,Argentina,2015,Junio,aceite de soja,biodiesel,t,toneladas,197177
32,Argentina,2015,Julio,aceite de soja,biodiesel,t,toneladas,183131
32,Argentina,2015,Agosto,aceite de soja,biodiesel,t,toneladas,215779
32,Argentina,2015,Septiembre,aceite de soja,biodiesel,t,toneladas,189390
32,Argentina,2015,Octubre,aceite de soja,biodiesel,t,toneladas,206731
32,Argentina,2015,Noviembre,aceite de soja,biodiesel,t,toneladas,189141
32,Argentina,2015,Diciembre,aceite de soja,biodiesel,t,toneladas,82312
32,Argentina,2016,Enero,aceite de soja,biodiesel,t,toneladas,106284
32,Argentina,2016,Febrero,aceite de soja,biodiesel,t,toneladas,156552
32,Argentina,2016,Marzo,aceite de soja,biodiesel,t,toneladas,151442
32,Argentina,2016,Abril,aceite de soja,biodiesel,t,toneladas,198178
32,Argentina,2016,Mayo,aceite de soja,biodiesel,t,toneladas,260068
32,Argentina,2016,Junio,aceite de soja,biodiesel,t,toneladas,270688
32,Argentina,2016,Julio,aceite de soja,biodiesel,t,toneladas,257095
32,Argentina,2016,Agosto,aceite de soja,biodiesel,t,toneladas,295013
32,Argentina,2016,Septiembre,aceite de soja,biodiesel,t,toneladas,302401
32,Argentina,2016,Octubre,aceite de soja,biodiesel,t,toneladas,303649
32,Argentina,2016,Noviembre,aceite de soja,biodiesel,t,toneladas,290336
32,Argentina,2016,Diciembre,aceite de soja,biodiesel,t,toneladas,160008
32,Argentina,2017,Enero,aceite de soja,biodiesel,t,toneladas,196509
32,Argentina,2017,Febrero,aceite de soja,biodiesel,t,toneladas,168162
32,Argentina,2017,Marzo,aceite de soja,biodiesel,t,toneladas,178465
32,Argentina,2017,Abril,aceite de soja,biodiesel,t,toneladas,258002
32,Argentina,2017,Mayo,aceite de soja,biodiesel,t,toneladas,306931
32,Argentina,2017,Junio,aceite de soja,biodiesel,t,toneladas,292435
32,Argentina,2017,Julio,aceite de soja,biodiesel,t,toneladas,282434
32,Argentina,2017,Agosto,aceite de soja,biodiesel,t,toneladas,176187
32,Argentina,2017,Septiembre,aceite de soja,biodiesel,t,toneladas,221637
32,Argentina,2017,Octubre,aceite de soja,biodiesel,t,toneladas,303171
32,Argentina,2017,Noviembre,aceite de soja,biodiesel,t,toneladas,312959
32,Argentina,2017,Diciembre,aceite de soja,biodiesel,t,toneladas,274931
32,Argentina,2018,Enero,aceite de soja,biodiesel,t,toneladas,252654
32,Argentina,2018,Febrero,aceite de soja,biodiesel,t,toneladas,162863
32,Argentina,2018,Marzo,aceite de soja,biodiesel,t,toneladas,184501
32,Argentina,2018,Abril,aceite de soja,biodiesel,t,toneladas,234500
32,Argentina,2018,Mayo,aceite de soja,biodiesel,t,toneladas,300359
32,Argentina,2018,Junio,aceite de soja,biodiesel,t,toneladas,274571
32,Argentina,2018,Julio,aceite de soja,biodiesel,t,toneladas,269034
32,Argentina,2018,Agosto,aceite de soja,biodiesel,t,toneladas,140039
32,Argentina,2018,Septiembre,aceite de soja,biodiesel,t,toneladas,180431
32,Argentina,2018,Octubre,aceite de soja,biodiesel,t,toneladas,137564
32,Argentina,2018,Noviembre,aceite de soja,biodiesel,t,toneladas,268612
32,Argentina,2018,Diciembre,aceite de soja,biodiesel,t,toneladas,110908
32,Argentina,2019,Enero,aceite de soja,biodiesel,t,toneladas,87147
32,Argentina,2019,Febrero,aceite de soja,biodiesel,t,toneladas,97008
32,Argentina,2019,Marzo,aceite de soja,biodiesel,t,toneladas,205918
32,Argentina,2019,Abril,aceite de soja,biodiesel,t,toneladas,284307
32,Argentina,2019,Mayo,aceite de soja,biodiesel,t,toneladas,282584
